CODE,PRODUCT NAME,DIMENSIONS,COLOUR,WEIGHT( KG),PER BOX QTY,DESCRIPTION,IMAGE,,,,
10294,3D SINGLE LINING,200MM*200MM*60MM,ORANGE,3,5,DOUBLE  SIDE FINISH,,,,,
10301,CLOSE MIRROR,200MM*200MM*60MM,RED ,3.1,5,DOUBLE  SIDE FINISH,,,,,
10302,CLOSE MIRROR,200MM*200MM*60MM,WHITE,3.3,5,DOUBLE  SIDE FINISH,,,,,
10303,CLOSE MIRROR,200MM*200MM*60MM,GREY,3..1,5,DOUBLE  SIDE FINISH,,,,,
10304,CLOSE MIRROR,200MM*200MM*60MM,ORANGE,3.1,5,DOUBLE  SIDE FINISH,,,,,
10311,OPEN MIRROR,200MM*200MM*60MM,RED ,3,5,DOUBLE  SIDE FINISH,,,,,
10312,OPEN MIRROR,200MM*200MM*60MM,WHITE,3,5,DOUBLE  SIDE FINISH,,,,,
10313,OPEN MIRROR,200MM*200MM*60MM,GREY,2.8,5,DOUBLE  SIDE FINISH,,,,,
10314,OPEN MIRROR,200MM*200MM*60MM,ORANGE,2.8,5,DOUBLE  SIDE FINISH,,,,,
10321,4 - WINDOW,200MM*200MM*60MM,RED ,3.8,5,DOUBLE  SIDE FINISH,,,,,
10322,4 - WINDOW,200MM*200MM*60MM,WHITE,4,5,DOUBLE  SIDE FINISH,,,,,
10323,4 - WINDOW,200MM*200MM*60MM,GREY,3.6,5,DOUBLE  SIDE FINISH,,,,,
10324,4 - WINDOW,200MM*200MM*60MM,ORANGE,3.8,5,DOUBLE  SIDE FINISH,,,,,
10331,Z,200MM*200MM*60MM,RED ,3.2,5,DOUBLE  SIDE FINISH,,,,,
10332,Z,200MM*200MM*60MM,WHITE,3,5,DOUBLE  SIDE FINISH,,,,,
10333,Z,200MM*200MM*60MM,GREY,3,5,DOUBLE  SIDE FINISH,,,,,
10334,Z,200MM*200MM*60MM,ORANGE,3.1,5,DOUBLE  SIDE FINISH,,,,,
10341,MANGULU,250MM*200MM*75MM,RED ,4.3,5,DOUBLE  SIDE FINISH,,,,,
10342,MANGULU,250MM*200MM*75MM,WHITE,4.3,5,DOUBLE  SIDE FINISH,,,,,
10343,MANGULU,250MM*200MM*75MM,GREY,4.2,5,DOUBLE  SIDE FINISH,,,,,
10344,MANGULU,250MM*200MM*75MM,ORANGE,4.1,5,DOUBLE  SIDE FINISH,,,,,
10351,SWASTIK,200MM*200MM*60MM,RED ,2.5,5,DOUBLE  SIDE FINISH,,,,,
10352,SWASTIK,200MM*200MM*60MM,WHITE,2.5,5,DOUBLE  SIDE FINISH,,,,,
10353,SWASTIK,200MM*200MM*60MM,GREY,2.5,5,DOUBLE  SIDE FINISH,,,,,
10354,SWASTIK,200MM*200MM*60MM,ORANGE,2.5,5,DOUBLE  SIDE FINISH,,,,,
10361,CAMP,200MM*200MM*60MM,RED ,2.4,5,DOUBLE  SIDE FINISH,,,,,
10362,CAMP,200MM*200MM*60MM,WHITE,2.5,5,DOUBLE  SIDE FINISH,,,,,
10363,CAMP,200MM*200MM*60MM,GREY,2.3,5,DOUBLE  SIDE FINISH,,,,,
10364,CAMP,200MM*200MM*60MM,ORANGE,2.4,5,DOUBLE  SIDE FINISH,,,,,
